BLACK,,
H,S,L
145,100,45
145,100,55
150,40,45
150,40,55
150,40,65
150,60,35
150,60,45
150,60,55
150,80,35
150,80,45
150,80,55
150,80,65
150,100,35
150,100,45
150,100,55
155,40,55
155,60,35
155,60,45
155,60,55
155,80,35
155,80,45
155,80,55
155,100,35
155,100,45
160,40,55
160,60,35
160,60,45
160,60,55
160,80,35
160,80,45
160,80,55
160,100,25
160,100,35
160,100,45
165,60,45
165,60,55
165,80,35
165,80,45
165,100,25
165,100,35
170,60,45
170,60,55
170,80,35
170,80,45
170,100,25
170,100,35
OLIVE,,
H,S,L
45,40,25
45,40,35
45,40,45
45,40,55
45,60,25
45,60,35
45,60,45
45,60,55
45,80,25
45,80,35
45,80,45
45,80,55
45,100,25
45,100,35
45,100,45
50,40,25
50,40,35
50,40,45
50,40,55
50,60,25
50,60,35
50,60,45
50,60,55
50,80,25
50,80,35
50,80,45
50,80,55
50,100,25
50,100,35
50,100,45
55,40,25
55,40,35
55,40,45
55,40,55
55,60,25
55,60,35
55,60,45
55,60,55
55,60,65
55,80,25
55,80,35
55,80,45
55,80,55
55,100,25
55,100,35
55,100,45
60,40,25
60,40,35
60,40,45
60,40,55
60,60,25
60,60,35
60,60,45
60,60,55
60,60,65
60,80,25
60,80,35
60,80,45
60,80,55
60,100,25
60,100,35
60,100,45
65,20,35
65,20,45
65,20,55
65,40,25
65,40,35
65,40,45
65,40,55
65,40,65
65,60,25
65,60,35
65,60,45
65,60,55
65,60,65
65,80,25
65,80,35
65,80,45
65,80,55
65,100,25
65,100,35
65,100,45
70,20,25
70,20,35
70,20,45
70,20,55
70,40,25
70,40,35
70,40,45
70,40,55
70,40,65
70,60,25
70,60,35
70,60,45
70,60,55
70,80,25
70,80,35
70,80,45
70,100,25
70,100,35
70,100,45
75,20,25
75,20,35
75,20,45
75,20,55
75,40,25
75,40,35
75,40,45
75,40,55
75,40,65
75,60,25
75,60,35
75,60,45
75,60,55
75,80,25
75,80,35
75,80,45
75,100,25
75,100,35
75,100,45
80,20,35
80,20,45
80,20,55
80,40,25
80,40,35
80,40,45
80,40,55
80,40,65
80,60,25
80,60,35
80,60,45
80,60,55
80,80,25
80,80,35
80,100,25
80,100,35
85,20,35
85,20,45
85,20,55
85,20,65
85,20,75
85,20,85
85,40,25
85,40,35
85,40,45
85,40,55
85,40,65
85,60,25
85,60,35
85,60,45
85,60,55
85,80,14
85,80,25
85,80,35
85,80,45
85,100,14
85,100,25
85,100,35
90,20,25
90,20,35
90,20,45
90,20,55
90,20,65
90,20,75
90,20,85
90,40,25
90,40,35
90,40,45
90,60,25
90,60,35
90,80,14
90,80,25
90,80,35
90,80,45
90,100,14
90,100,25
95,20,25
95,20,35
95,20,45
95,20,55
95,20,65
95,40,25
95,40,35
95,40,45
95,40,65
95,60,25
95,60,35
95,80,14
95,80,25
95,80,35
95,80,45
95,100,14
95,100,25
100,20,45
100,20,55
100,40,35
100,40,45
100,40,65
105,20,45
105,20,55
105,40,35
105,40,45
105,40,65
110,20,55
115,20,45
115,20,55
120,20,45
120,20,55
125,20,55
135,20,55
CHARTREUSE+LIME,,
H,S,L
50,80,55
50,80,65
55,60,55
55,80,55
55,80,65
55,100,45
55,100,55
60,60,55
60,80,55
60,80,65
60,80,75
60,100,45
60,100,55
65,60,45
65,60,55
65,60,65
65,60,75
65,80,45
65,80,55
65,80,65
65,80,75
65,80,85
65,100,45
65,100,55
65,100,65
65,100,75
65,100,85
70,60,45
70,60,55
70,60,65
70,60,75
70,80,45
70,80,55
70,80,65
70,80,75
70,80,85
70,100,45
70,100,55
70,100,65
70,100,75
70,100,85
75,60,45
75,60,55
75,60,65
75,60,75
75,80,45
75,80,55
75,80,65
75,80,75
75,80,85
75,100,45
75,100,55
75,100,65
75,100,75
75,100,85
80,60,55
80,60,65
80,80,45
80,80,55
80,80,65
80,80,75
80,100,45
80,100,55
80,100,65
80,100,75
80,100,85
80,100,95
85,40,45
85,40,55
85,40,65
85,40,75
85,60,55
85,60,65
85,60,75
85,60,85
85,80,45
85,80,55
85,80,65
85,80,75
85,100,45
85,100,55
85,100,65
85,100,75
85,100,85
85,100,95
90,40,45
90,40,55
90,40,65
90,40,75
90,40,85
90,60,45
90,60,55
90,60,65
90,60,75
90,60,85
90,80,45
90,80,55
90,80,65
90,100,45
90,100,55
90,100,65
90,100,75
90,100,85
95,40,55
95,60,45
95,60,55
95,60,65
95,60,75
95,60,85
95,80,45
95,80,55
95,80,65
95,100,45
95,100,55
95,100,65
95,100,75
95,100,85
100,80,55
100,80,65
100,100,45
100,100,55
100,100,65
100,100,75
105,80,55
105,80,65
105,100,45
105,100,55
105,100,65
105,100,75
110,80,55
110,80,65
110,100,55
110,100,65
115,80,55
115,80,65
115,100,55
115,100,65
120,100,55
120,100,65
125,100,55
125,100,65
125,100,75
130,100,55
130,100,65
130,100,75
135,100,55
135,100,65
140,100,55
140,100,65
145,100,55
145,100,65
150,100,55
150,100,65
155,100,55
160,100,55
CELADON+MINT,,
H,S,L
75,40,65
75,40,75
75,60,65
75,60,75
75,60,85
75,80,65
75,80,75
75,80,85
75,100,85
75,100,95
80,40,65
80,40,75
80,60,65
80,60,75
80,60,85
80,80,65
80,80,75
80,80,85
80,100,85
80,100,95
85,20,95
85,40,65
85,40,75
85,40,85
85,40,95
85,60,65
85,60,75
85,60,85
85,60,95
85,80,65
85,80,75
85,80,85
85,80,95
85,100,75
85,100,85
85,100,95
90,20,95
90,40,75
90,40,85
90,40,95
90,60,65
90,60,75
90,60,85
90,60,95
90,80,75
90,80,85
90,80,95
90,100,75
90,100,85
90,100,95
95,20,55
95,20,65
95,20,75
95,20,85
95,40,65
95,40,75
95,40,85
95,40,95
95,60,65
95,60,75
95,60,85
95,60,95
95,80,75
95,80,85
95,80,95
95,100,75
95,100,85
95,100,95
100,20,55
100,20,65
100,20,75
100,20,85
100,40,65
100,40,75
100,40,85
100,40,95
100,60,65
100,60,75
100,60,85
100,60,95
100,80,75
100,80,85
100,80,95
100,100,75
100,100,85
100,100,95
105,20,55
105,20,65
105,20,75
105,20,85
105,40,65
105,40,75
105,40,85
105,40,95
105,60,65
105,60,75
105,60,85
105,60,95
105,80,75
105,80,85
105,80,95
105,100,75
105,100,85
105,100,95
110,20,65
110,40,65
110,40,75
110,40,85
110,40,95
110,60,65
110,60,75
110,60,85
110,60,95
110,80,75
110,80,85
110,80,95
110,100,75
110,100,85
110,100,95
115,20,65
115,20,75
115,40,65
115,40,75
115,40,85
115,40,95
115,60,65
115,60,75
115,60,85
115,60,95
115,80,75
115,80,85
115,80,95
115,100,75
115,100,85
115,100,95
120,20,65
120,20,75
120,40,65
120,40,75
120,40,85
120,40,95
120,60,65
120,60,75
120,60,85
120,60,95
120,80,75
120,80,85
120,80,95
120,100,75
120,100,85
120,100,95
125,20,65
125,20,75
125,40,65
125,40,75
125,40,85
125,40,95
125,60,65
125,60,75
125,60,85
125,60,95
125,80,65
125,80,75
125,80,85
125,80,95
125,100,85
125,100,95
130,40,65
130,40,75
130,40,85
130,40,95
130,60,65
130,60,75
130,60,85
130,60,95
130,80,65
130,80,75
130,80,85
130,80,95
130,100,65
130,100,75
130,100,85
130,100,95
135,40,65
135,40,75
135,40,85
135,40,95
135,60,65
135,60,75
135,60,85
135,60,95
135,80,65
135,80,75
135,80,85
135,80,95
135,100,65
135,100,75
135,100,85
135,100,95
140,40,65
140,40,75
140,40,85
140,40,95
140,60,55
140,60,65
140,60,75
140,60,85
140,60,95
140,80,65
140,80,75
140,80,85
140,80,95
140,100,65
140,100,75
140,100,85
140,100,95
145,40,65
145,40,75
145,40,85
145,40,95
145,60,55
145,60,65
145,60,75
145,60,85
145,60,95
145,80,65
145,80,75
145,80,85
145,80,95
145,100,65
145,100,75
145,100,85
145,100,95
150,40,55
150,40,65
150,40,75
150,40,85
150,40,95
150,60,55
150,60,65
150,60,75
150,60,85
150,60,95
150,80,55
150,80,65
150,80,75
150,80,85
150,80,95
150,100,55
150,100,65
150,100,75
150,100,85
150,100,95
155,40,55
155,40,65
155,40,75
155,40,85
155,40,95
155,60,55
155,60,65
155,60,75
155,60,85
155,60,95
155,80,55
155,80,65
155,80,75
155,80,85
155,80,95
155,100,55
155,100,65
155,100,75
155,100,85
155,100,95
160,40,55
160,40,65
160,40,75
160,40,85
160,40,95
160,60,55
160,60,65
160,60,75
160,60,85
160,60,95
160,80,55
160,80,65
160,80,75
160,80,85
160,80,95
160,100,45
160,100,55
160,100,65
160,100,75
160,100,85
160,100,95
165,40,55
165,40,65
165,40,75
165,40,85
165,40,95
165,60,55
165,60,65
165,60,75
165,60,85
165,60,95
165,80,55
165,80,65
165,80,75
165,80,85
165,80,95
165,100,45
165,100,55
165,100,65
165,100,75
165,100,85
165,100,95
170,40,55
170,40,65
170,40,75
170,40,85
170,40,95
170,60,55
170,60,65
170,60,75
170,60,85
170,60,95
170,80,55
170,80,65
170,80,75
170,80,85
170,80,95
170,100,45
170,100,55
170,100,65
170,100,75
170,100,85
170,100,95
175,40,75
175,40,85
175,40,95
175,60,75
175,60,85
175,60,95
180,40,75
180,40,85
180,60,75
185,40,75
185,40,85
185,60,75
190,40,75
190,40,85
195,40,75
195,40,85
HUNTER+FOREST,,
H,S,L
65,20,25
65,20,35
65,20,45
65,40,25
65,60,25
65,80,25
65,100,25
70,20,25
70,20,35
70,40,25
70,60,25
70,80,25
70,100,25
75,20,25
75,20,35
75,20,45
75,40,25
75,40,35
75,60,25
75,80,25
75,100,14
75,100,25
80,20,25
80,20,35
80,20,45
80,40,25
80,40,35
80,60,25
80,80,25
80,100,14
80,100,25
85,20,25
85,20,35
85,20,45
85,20,55
85,40,25
85,40,35
85,60,14
85,60,25
85,80,14
85,80,25
85,100,14
85,100,25
90,20,25
90,20,35
90,20,45
90,20,55
90,40,25
90,60,14
90,60,25
90,80,14
90,100,14
95,20,25
95,20,35
95,20,45
95,20,55
95,40,25
95,40,35
95,40,45
95,60,14
95,60,25
95,80,14
95,80,25
95,100,14
95,100,25
100,20,35
100,20,45
100,40,25
100,40,35
100,40,45
100,60,14
100,60,25
100,80,14
100,80,25
100,100,14
100,100,25
105,20,35
105,20,45
105,20,55
105,40,25
105,40,35
105,40,45
105,60,14
105,60,25
105,60,35
105,80,14
105,80,25
105,100,14
105,100,25
110,20,25
110,20,35
110,20,45
110,20,55
110,40,25
110,40,35
110,40,45
110,60,14
110,60,25
110,60,35
110,80,14
110,80,25
110,100,14
110,100,25
115,20,25
115,20,35
115,20,45
115,20,55
115,40,25
115,40,35
115,40,45
115,60,14
115,60,25
115,60,35
115,60,45
115,80,14
115,80,25
115,80,35
115,100,14
115,100,25
120,20,25
120,20,35
120,20,45
120,20,55
120,40,25
120,40,35
120,40,45
120,40,55
120,60,25
120,60,35
120,60,45
120,80,14
120,80,25
120,80,35
120,100,14
120,100,25
125,20,25
125,20,35
125,20,45
125,20,55
125,40,25
125,40,35
125,40,45
125,60,25
125,60,35
125,80,25
125,80,35
125,100,25
125,100,35
130,20,35
130,20,45
130,20,55
130,40,25
130,40,35
130,40,45
130,60,25
130,80,25
130,80,35
130,100,14
130,100,25
135,20,35
135,20,45
135,20,55
135,40,25
135,40,35
135,40,45
135,60,25
135,60,35
135,80,25
135,80,35
135,100,14
135,100,25
140,20,35
140,20,45
140,20,55
140,40,25
140,40,35
140,40,45
140,40,55
140,60,25
140,60,35
140,80,25
140,80,35
140,100,14
140,100,25
145,20,35
145,20,45
145,20,55
145,40,25
145,40,35
145,40,45
145,40,55
145,60,25
145,60,35
145,80,25
145,80,35
145,100,25
150,20,35
150,20,45
150,20,55
150,40,25
150,40,35
150,40,45
150,40,55
150,60,25
150,60,35
150,80,25
150,80,35
150,100,25
150,100,35
155,40,25
155,40,35
155,40,45
155,60,25
155,60,35
155,80,25
155,80,35
155,100,25
155,100,35
160,40,25
160,40,35
160,40,45
160,60,25
160,60,35
160,60,45
160,80,25
160,80,35
160,100,14
160,100,25
160,100,35
165,40,25
165,40,35
165,40,45
165,60,25
165,60,35
165,60,45
165,80,25
165,80,35
165,100,14
165,100,25
165,100,35
170,40,25
170,40,35
170,40,45
170,60,25
170,60,35
170,60,45
170,80,25
170,80,35
170,100,14
170,100,25
170,100,35
175,40,25
175,40,35
175,40,45
175,60,25
175,60,35
175,80,25
175,80,35
175,100,14
175,100,25
175,100,35
180,40,25
180,40,35
180,40,45
180,60,25
180,60,35
180,80,25
180,80,35
180,100,14
180,100,25
180,100,35
185,40,25
185,40,35
185,40,45
185,60,25
185,60,35
185,80,25
185,80,35
185,100,14
185,100,25
185,100,35
190,40,25
190,40,35
190,60,25
190,60,35
190,80,25
190,80,35
190,100,25
190,100,35
195,40,25
195,40,35
195,60,25
195,60,35
195,80,25
195,80,35
195,100,25
195,100,35
TURQUOISE+AQUA,,
H,S,L
150,100,75
150,100,85
150,100,95
155,100,75
155,100,85
155,100,95
160,60,55
160,60,65
160,60,75
160,60,85
160,60,95
160,80,45
160,80,55
160,80,65
160,80,75
160,80,85
160,80,95
160,100,45
160,100,55
160,100,65
160,100,75
160,100,85
160,100,95
165,60,55
165,60,65
165,60,75
165,60,85
165,60,95
165,80,45
165,80,55
165,80,65
165,80,75
165,80,85
165,80,95
165,100,45
165,100,55
165,100,65
165,100,75
165,100,85
165,100,95
170,40,45
170,40,55
170,40,65
170,40,75
170,40,85
170,40,95
170,60,35
170,60,45
170,60,55
170,60,65
170,60,75
170,60,85
170,60,95
170,80,35
170,80,45
170,80,55
170,80,65
170,80,75
170,80,85
170,80,95
170,100,25
170,100,35
170,100,45
170,100,55
170,100,65
170,100,75
170,100,85
170,100,95
175,40,45
175,40,55
175,40,65
175,40,75
175,40,85
175,40,95
175,60,35
175,60,45
175,60,55
175,60,65
175,60,75
175,60,85
175,60,95
175,80,35
175,80,45
175,80,55
175,80,65
175,80,75
175,80,85
175,80,95
175,100,25
175,100,35
175,100,45
175,100,55
175,100,65
175,100,75
175,100,85
175,100,95
180,40,45
180,40,55
180,40,65
180,40,75
180,40,85
180,40,95
180,60,35
180,60,45
180,60,55
180,60,65
180,60,75
180,60,85
180,60,95
180,80,35
180,80,45
180,80,55
180,80,65
180,80,75
180,80,85
180,80,95
180,100,35
180,100,45
180,100,55
180,100,65
180,100,75
180,100,85
180,100,95
185,40,45
185,40,55
185,40,65
185,40,75
185,40,85
185,40,95
185,60,35
185,60,45
185,60,55
185,60,65
185,60,75
185,60,85
185,60,95
185,80,35
185,80,45
185,80,55
185,80,65
185,80,75
185,80,85
185,80,95
185,100,35
185,100,45
185,100,55
185,100,65
185,100,75
185,100,85
185,100,95
190,40,45
190,40,55
190,40,65
190,40,75
190,40,85
190,40,95
190,60,25
190,60,35
190,60,45
190,60,55
190,60,65
190,60,75
190,60,85
190,60,95
190,80,25
190,80,35
190,80,45
190,80,55
190,80,65
190,80,75
190,80,85
190,80,95
190,100,25
190,100,35
190,100,45
190,100,55
190,100,65
190,100,75
190,100,85
190,100,95
195,40,45
195,40,55
195,40,65
195,40,75
195,40,85
195,40,95
195,60,25
195,60,35
195,60,45
195,60,55
195,60,65
195,60,75
195,60,85
195,60,95
195,80,25
195,80,35
195,80,45
195,80,55
195,80,65
195,80,75
195,80,85
195,80,95
195,100,35
195,100,45
195,100,55
195,100,65
195,100,75
195,100,85
195,100,95
200,40,75
200,40,85
200,40,95
200,60,25
200,60,35
200,60,45
200,60,55
200,60,65
200,60,75
200,60,85
200,60,95
200,80,25
200,80,35
200,80,45
200,80,55
200,80,65
200,80,75
200,80,85
200,80,95
200,100,35
200,100,45
200,100,55
200,100,65
200,100,75
200,100,85
200,100,95
205,40,75
205,40,85
205,40,95
205,60,25
205,60,35
205,60,45
205,60,55
205,60,65
205,60,75
205,60,85
205,60,95
205,80,25
205,80,35
205,80,45
205,80,55
205,80,65
205,80,75
205,80,85
205,80,95
205,100,35
205,100,45
205,100,55
205,100,65
205,100,75
205,100,85
205,100,95
210,60,55
215,60,55
NAVY+COBALT,,
H,S,L
195,100,25
200,100,25
205,40,25
205,40,35
205,60,25
205,60,35
205,60,45
205,60,55
205,80,25
205,80,35
205,80,45
205,80,55
205,100,25
205,100,35
205,100,45
205,100,55
210,40,25
210,40,35
210,60,25
210,60,35
210,60,45
210,60,55
210,80,25
210,80,35
210,80,45
210,80,55
210,100,25
210,100,35
210,100,45
210,100,55
215,40,25
215,40,35
215,40,45
215,60,25
215,60,35
215,60,45
215,60,55
215,80,25
215,80,35
215,80,45
215,80,55
215,100,25
215,100,35
215,100,45
215,100,55
220,40,25
220,40,35
220,40,45
220,60,25
220,60,35
220,60,45
220,60,55
220,80,25
220,80,35
220,80,45
220,80,55
220,100,25
220,100,35
220,100,45
220,100,55
225,40,25
225,40,35
225,40,45
225,60,25
225,60,35
225,60,45
225,60,55
225,80,25
225,80,35
225,80,45
225,80,55
225,100,25
225,100,35
225,100,45
225,100,55
225,100,65
230,40,25
230,40,35
230,40,45
230,40,55
230,60,25
230,60,35
230,60,45
230,60,55
230,80,25
230,80,35
230,80,45
230,80,55
230,100,25
230,100,35
230,100,45
230,100,55
230,100,65
235,40,25
235,40,35
235,40,45
235,40,55
235,60,25
235,60,35
235,60,45
235,60,55
235,80,25
235,80,35
235,80,45
235,80,55
235,80,65
235,100,25
235,100,35
235,100,45
235,100,55
235,100,65
240,40,25
240,40,35
240,40,45
240,60,25
240,60,35
240,60,45
240,60,55
240,80,25
240,80,35
240,80,45
240,80,55
240,80,65
240,100,25
240,100,35
240,100,45
240,100,55
240,100,65
245,40,25
245,40,35
245,40,45
245,60,25
245,60,35
245,60,45
245,60,55
245,80,25
245,80,35
245,80,45
245,80,55
245,80,65
245,100,25
245,100,35
245,100,45
245,100,55
245,100,65
250,40,25
250,40,35
250,40,45
250,40,55
250,60,25
250,60,35
250,60,45
250,60,55
250,80,25
250,80,35
250,80,45
250,80,55
250,100,25
250,100,35
250,100,45
250,100,55
250,100,65
255,40,25
255,40,35
255,40,45
255,40,55
255,60,25
255,60,35
255,60,45
255,60,55
255,80,25
255,80,35
255,80,45
255,80,55
255,100,25
255,100,35
255,100,45
255,100,55
255,100,65
260,40,25
260,40,35
260,60,25
260,60,35
260,80,25
260,80,35
260,80,45
260,80,55
260,100,25
260,100,35
260,100,45
260,100,55
265,40,25
265,40,35
265,60,25
265,60,35
265,80,25
265,80,35
265,80,45
265,80,55
265,100,25
265,100,35
265,100,45
265,100,55
270,40,25
270,40,35
270,60,25
270,60,35
270,80,25
270,80,35
270,100,25
270,100,35
275,40,25
275,40,35
275,60,25
275,60,35
275,80,25
275,80,35
275,100,25
275,100,35
SLATE+STEEL,,
H,S,L
160,20,45
160,20,55
160,20,65
165,20,45
165,20,55
165,20,65
170,20,45
170,20,55
170,20,65
175,20,45
175,20,55
175,20,65
180,20,45
180,20,55
180,20,65
180,40,35
180,40,45
185,20,35
185,20,45
185,20,55
185,20,65
185,40,25
185,40,35
185,40,45
190,20,35
190,20,45
190,20,55
190,20,65
190,40,25
190,40,35
190,40,45
190,60,25
190,80,25
190,100,25
195,20,35
195,20,45
195,20,55
195,20,65
195,40,25
195,40,35
195,40,45
195,40,55
195,40,65
195,60,25
195,60,35
195,80,25
195,80,35
195,100,25
200,20,45
200,20,55
200,20,65
200,40,25
200,40,35
200,40,45
200,40,55
200,40,65
200,60,25
200,60,35
200,80,25
200,80,35
200,100,25
200,100,35
205,20,45
205,20,55
205,20,65
205,40,25
205,40,35
205,40,45
205,40,55
205,40,65
205,60,25
205,60,35
205,60,45
205,60,55
205,60,65
205,60,75
205,80,25
205,80,35
205,100,25
205,100,35
210,20,45
210,20,55
210,20,65
210,40,25
210,40,35
210,40,45
210,40,55
210,40,65
210,60,25
210,60,35
210,60,45
210,60,55
210,60,65
210,60,75
215,20,35
215,20,45
215,20,55
215,20,65
215,40,25
215,40,35
215,40,45
215,40,55
215,40,65
215,40,75
215,60,25
215,60,35
215,60,45
215,60,65
220,20,35
220,20,45
220,20,55
220,20,65
220,40,35
220,40,45
220,40,55
220,40,65
220,40,75
225,20,35
225,20,45
225,20,55
225,20,65
225,40,35
225,40,45
225,40,55
225,40,65
225,40,75
230,20,45
230,20,55
230,20,65
230,40,45
230,40,55
230,40,65
230,40,75
235,20,35
235,20,45
235,20,55
235,20,65
235,40,45
235,40,55
235,40,65
235,40,75
240,20,35
240,20,45
240,20,55
240,20,65
240,40,45
240,40,55
240,40,65
245,20,35
245,20,45
245,20,55
245,20,65
245,40,35
245,40,45
245,40,55
245,40,65
245,40,75
250,20,35
250,20,45
250,20,55
250,20,65
250,40,35
250,40,45
250,40,55
250,40,65
250,40,75
255,20,35
255,20,45
255,20,55
255,20,65
255,40,35
255,40,45
255,40,55
255,40,65
255,40,75
260,20,35
260,20,45
260,20,55
260,20,65
265,20,35
265,20,45
265,20,55
265,20,65
270,20,35
270,20,45
270,20,55
270,20,65
275,20,35
275,20,45
275,20,55
275,20,65
280,20,35
280,20,45
280,20,55
280,20,65
285,20,35
285,20,45
285,20,55
290,20,35
290,20,45
290,20,55
295,20,35
295,20,45
295,20,55
300,20,35
300,20,45
305,20,35
305,20,45
CORNFLR + PERIWKL,,
H,S,L
205,80,45
205,80,55
205,80,65
205,80,75
205,100,45
205,100,55
205,100,65
205,100,75
210,80,45
210,80,55
210,80,65
210,80,75
210,100,45
210,100,55
210,100,65
210,100,75
215,40,55
215,40,65
215,60,55
215,60,65
215,60,75
215,60,85
215,80,55
215,80,65
215,80,75
215,80,85
215,100,55
215,100,65
215,100,75
215,100,85
220,40,55
220,40,65
220,60,55
220,60,65
220,60,75
220,60,85
220,80,55
220,80,65
220,80,75
220,80,85
220,100,55
220,100,65
220,100,75
220,100,85
225,60,55
225,60,65
225,60,75
225,60,85
225,80,55
225,80,65
225,80,75
225,80,85
225,100,55
225,100,65
225,100,75
225,100,85
230,60,55
230,60,65
230,60,75
230,60,85
230,80,55
230,80,65
230,80,75
230,80,85
230,100,55
230,100,65
230,100,75
235,40,55
235,40,65
235,60,55
235,60,65
235,60,75
235,60,85
235,80,55
235,80,65
235,80,75
235,80,85
235,100,55
235,100,65
235,100,75
235,100,85
240,40,55
240,40,65
240,40,75
240,60,55
240,60,65
240,60,75
240,80,65
240,80,75
240,80,85
240,100,65
240,100,75
240,100,85
245,40,55
245,40,65
245,40,75
245,60,55
245,60,65
245,60,75
245,80,65
245,80,75
245,80,85
245,100,65
245,100,75
245,100,85
250,60,65
250,60,75
250,80,55
250,80,65
250,80,75
250,80,85
250,100,55
250,100,65
250,100,75
255,60,65
255,60,75
255,80,55
255,80,65
255,80,75
255,80,85
255,100,55
255,100,65
255,100,75
SKY + POWDER,,
H,S,L
170,40,95
170,60,95
170,80,95
170,100,75
170,100,85
170,100,95
175,40,95
175,60,95
175,80,95
175,100,75
175,100,85
175,100,95
180,40,95
180,60,85
180,60,95
180,80,85
180,80,95
180,100,85
180,100,95
185,40,95
185,60,85
185,60,95
185,80,85
185,80,95
185,100,85
185,100,95
190,40,95
190,60,85
190,60,95
190,80,85
190,80,95
190,100,85
190,100,95
195,40,95
195,60,85
195,60,95
195,80,85
195,80,95
195,100,85
195,100,95
200,40,95
200,60,85
200,60,95
200,80,85
200,80,95
200,100,85
200,100,95
205,40,95
205,60,85
205,60,95
205,80,75
205,80,85
205,80,95
205,100,75
205,100,85
205,100,95
210,40,95
210,60,85
210,60,95
210,80,75
210,80,85
210,80,95
210,100,75
210,100,85
210,100,95
215,40,85
215,40,95
215,60,75
215,60,85
215,60,95
215,80,75
215,80,85
215,80,95
215,100,75
215,100,85
215,100,95
220,40,85
220,40,95
220,60,75
220,60,85
220,60,95
220,80,75
220,80,85
220,80,95
220,100,75
220,100,85
220,100,95
225,60,75
225,60,85
225,60,95
225,80,75
225,80,85
225,80,95
225,100,75
225,100,85
225,100,95
230,60,75
230,60,85
230,60,95
230,80,75
230,80,85
230,80,95
230,100,75
230,100,85
230,100,95
235,40,85
235,40,95
235,60,75
235,60,85
235,60,95
235,80,75
235,80,85
235,80,95
235,100,75
235,100,85
235,100,95
240,40,85
240,40,95
240,60,85
240,60,95
240,80,85
240,80,95
240,100,85
240,100,95
245,40,85
245,40,95
245,60,85
245,60,95
245,80,85
245,80,95
245,100,85
245,100,95
BLUSH + ROSE,,
H,S,L
5,60,75
5,60,85
5,80,85
5,100,85
10,60,75
10,60,85
10,80,85
10,100,85
15,60,95
15,80,85
15,100,85
20,80,85
20,100,85
295,80,85
295,80,95
295,100,95
300,80,85
300,80,95
300,100,85
300,100,95
305,60,95
305,100,95
310,40,95
310,60,95
310,80,95
315,40,95
315,60,95
315,80,95
315,100,95
320,40,95
320,60,95
320,80,95
320,100,95
325,40,95
325,60,95
325,80,85
325,80,95
325,100,95
330,40,95
330,60,95
330,80,85
330,80,95
330,100,85
330,100,95
335,40,95
335,60,95
335,80,85
335,80,95
335,100,85
335,100,95
340,40,85
340,40,95
340,60,75
340,60,85
340,60,95
340,80,95
340,100,85
340,100,95
345,40,85
345,40,95
345,60,75
345,60,85
345,60,95
345,80,95
345,100,85
345,100,95
350,40,95
350,60,75
350,60,85
350,60,95
350,80,85
350,80,95
350,100,85
350,100,95
355,40,95
355,60,75
355,60,85
355,60,95
355,80,85
355,80,95
355,100,95
360,60,95
360,80,85
360,80,95
360,100,85
360,100,95
MAUVE,,
H,S,L
5,40,65
5,40,75
5,40,85
5,60,65
5,60,75
5,60,85
5,80,85
5,100,75
5,100,85
10,40,65
10,40,75
10,40,85
10,60,65
10,60,75
10,60,85
10,60,95
10,80,75
10,80,85
10,100,75
10,100,85
15,60,75
15,60,85
15,60,95
15,80,85
15,100,85
20,60,75
20,60,85
20,60,95
20,80,85
275,40,65
275,40,75
275,60,65
275,60,75
280,40,65
280,40,75
280,60,65
280,60,75
285,20,55
285,20,65
285,20,75
285,40,55
285,40,65
285,40,75
285,60,65
285,60,75
285,80,75
285,80,85
285,100,75
285,100,85
290,20,55
290,20,65
290,20,75
290,40,55
290,40,65
290,40,75
290,60,65
290,60,75
290,80,65
290,80,75
290,80,85
290,100,65
290,100,75
290,100,85
295,20,55
295,20,65
295,20,75
295,40,55
295,40,65
295,40,75
295,40,85
295,60,65
295,60,75
295,60,85
295,80,75
295,80,85
300,20,55
300,20,65
300,20,75
300,40,45
300,40,55
300,40,65
300,40,75
300,40,85
300,60,65
300,60,75
300,60,85
300,80,75
300,80,85
300,80,95
305,20,45
305,20,55
305,20,65
305,20,75
305,40,45
305,40,55
305,40,65
305,40,75
305,40,85
305,60,65
305,60,75
305,60,85
305,80,75
305,80,85
305,80,95
305,100,85
310,20,35
310,20,45
310,20,55
310,20,65
310,20,75
310,40,45
310,40,55
310,40,65
310,40,75
310,40,85
310,60,65
310,60,75
310,60,85
310,80,75
310,80,85
310,100,85
310,100,95
315,20,35
315,20,45
315,20,55
315,20,65
315,20,75
315,40,45
315,40,55
315,40,65
315,40,75
315,40,85
315,60,65
315,60,75
315,60,85
315,80,75
315,80,85
315,100,85
320,20,35
320,20,45
320,20,55
320,20,65
320,40,45
320,40,55
320,40,65
320,40,75
320,40,85
320,60,55
320,60,65
320,60,75
320,60,85
325,20,35
325,20,45
325,20,55
325,20,65
325,40,35
325,40,45
325,40,55
325,40,65
325,40,75
325,40,85
325,60,55
325,60,65
325,60,75
325,60,85
325,80,85
330,20,45
330,20,55
330,20,65
330,40,35
330,40,45
330,40,55
330,40,65
330,40,75
330,40,85
330,60,55
330,60,65
330,60,75
330,60,85
330,80,85
335,20,45
335,20,55
335,20,65
335,40,35
335,40,45
335,40,55
335,40,65
335,40,75
335,40,85
335,60,55
335,60,65
335,60,75
335,60,85
335,80,65
335,80,75
335,80,85
340,20,55
340,20,65
340,40,45
340,40,55
340,40,65
340,40,75
340,40,85
340,60,45
340,60,55
340,60,65
