BLACK,,
H,S,L
150,20,55
150,20,65
155,20,25
155,20,35
155,20,45
155,20,55
155,20,65
160,20,25
160,20,35
160,20,45
160,20,55
160,20,65
165,20,25
165,20,35
165,20,45
165,20,55
165,20,65
170,20,25
170,20,35
170,20,45
170,20,55
170,20,65
175,20,25
175,20,35
175,20,45
175,20,55
175,20,65
180,20,25
180,20,35
180,20,45
180,20,55
185,20,25
185,20,35
185,20,45
185,20,55
190,20,25
190,20,35
190,20,45
190,20,55
195,20,25
195,20,35
195,20,45
195,20,55
195,20,65
195,40,25
195,40,35
195,40,45
195,40,55
195,40,65
200,20,25
200,20,35
200,20,45
200,20,55
200,20,65
200,40,25
200,40,35
200,40,45
200,40,55
200,40,65
205,20,25
205,20,35
205,20,45
205,20,55
205,20,65
205,40,25
205,40,35
205,40,45
205,40,55
205,40,65
210,20,25
210,20,35
210,20,45
210,20,55
215,20,25
215,20,35
215,20,45
215,20,55
220,20,25
220,20,35
220,20,45
220,20,55
225,20,25
225,20,35
225,20,45
225,20,55
230,20,25
230,20,35
230,20,45
230,20,55
235,20,25
235,20,35
235,20,45
235,20,55
240,20,25
240,20,35
240,20,45
240,20,55
245,20,25
245,20,35
245,20,45
245,20,55
245,20,65
250,20,25
250,20,35
250,20,45
250,20,55
250,20,65
255,20,25
255,20,35
255,20,45
255,20,55
255,20,65
260,20,25
260,20,35
260,20,45
260,20,55
265,20,25
265,20,35
265,20,45
265,20,55
270,20,25
270,20,35
270,20,45
270,20,55
275,20,25
275,20,35
275,20,45
275,20,55
280,20,25
280,20,35
280,20,45
280,20,55
285,20,25
285,20,35
285,20,45
290,20,25
290,20,35
290,20,45
295,20,25
295,20,35
295,20,45
300,20,25
300,20,35
300,20,45
300,20,55
305,20,25
305,20,35
310,20,25
310,20,35
315,20,25
315,20,35
320,20,25
320,20,35
320,20,45
325,20,25
325,20,35
325,20,45
330,20,25
330,20,35
335,20,25
335,20,35
335,20,45
340,20,25
340,20,35
340,20,45
345,20,25
345,20,35
345,20,45
350,20,25
350,20,35
350,20,45
355,20,25
355,20,35
355,20,45
360,20,25
360,20,35
PEWTER + DOVE,,
H,S,L
5,20,65
5,20,75
5,20,85
5,20,95
10,20,65
10,20,75
10,20,85
10,20,95
15,20,65
15,20,75
15,20,85
15,20,95
20,20,65
20,20,75
20,20,85
20,20,95
25,20,65
25,20,75
25,20,85
25,20,95
30,20,65
30,20,75
30,20,85
30,20,95
30,40,95
35,20,65
35,20,75
35,20,85
35,20,95
35,40,95
40,20,65
40,20,75
40,20,85
40,20,95
45,20,65
45,20,75
45,20,85
45,20,95
50,20,65
50,20,75
50,20,85
50,20,95
55,20,65
55,20,75
55,20,85
55,20,95
60,20,65
60,20,75
60,20,85
60,20,95
65,20,75
65,20,85
65,20,95
70,20,75
70,20,85
70,20,95
75,20,75
75,20,85
75,20,95
80,20,75
80,20,85
80,20,95
85,20,75
85,20,85
85,20,95
90,20,75
90,20,85
95,20,75
95,20,85
95,20,95
100,20,85
100,20,95
105,20,85
105,20,95
110,20,85
110,20,95
115,20,85
115,20,95
120,20,85
120,20,95
125,20,75
125,20,85
125,20,95
130,20,65
130,20,75
130,20,85
130,20,95
135,20,65
135,20,75
135,20,85
135,20,95
140,20,65
140,20,75
140,20,85
140,20,95
145,20,65
145,20,75
145,20,85
145,20,95
150,20,65
150,20,75
150,20,85
150,20,95
155,20,65
155,20,75
155,20,85
155,20,95
160,20,65
160,20,75
160,20,85
160,20,95
165,20,65
165,20,75
165,20,85
165,20,95
170,20,65
170,20,75
170,20,85
170,20,95
175,20,65
175,20,75
175,20,85
175,20,95
180,20,65
180,20,75
180,20,85
180,20,95
185,20,65
185,20,75
185,20,85
185,20,95
190,20,65
190,20,75
190,20,85
190,20,95
195,20,65
195,20,75
195,20,85
195,20,95
195,40,75
195,40,85
195,40,95
200,20,75
200,20,85
200,20,95
200,40,75
200,40,85
200,40,95
205,20,65
205,20,75
205,20,85
205,20,95
205,40,75
205,40,85
205,40,95
205,60,65
205,60,75
205,60,85
205,60,95
210,20,65
210,20,75
210,20,85
210,20,95
210,40,75
210,40,85
210,40,95
210,60,65
210,60,75
210,60,85
210,60,95
215,20,55
215,20,65
215,20,75
215,20,85
215,20,95
215,40,65
215,40,75
215,40,85
215,40,95
220,20,55
220,20,65
220,20,75
220,20,85
220,20,95
220,40,65
220,40,75
220,40,85
220,40,95
225,20,55
225,20,65
225,20,75
225,20,85
225,20,95
225,40,65
225,40,75
225,40,85
225,40,95
225,60,85
225,60,95
230,20,65
230,20,75
230,20,85
230,20,95
230,40,75
230,40,85
230,40,95
235,20,65
235,20,75
235,20,85
235,20,95
235,40,75
235,40,85
235,40,95
240,20,65
240,20,75
240,20,85
240,20,95
245,20,65
245,20,75
245,20,85
245,20,95
250,20,65
250,20,75
250,20,85
250,20,95
255,20,65
255,20,75
255,20,85
255,20,95
260,20,65
260,20,75
260,20,85
260,20,95
265,20,65
265,20,75
265,20,85
265,20,95
270,20,65
270,20,75
270,20,85
270,20,95
275,20,65
275,20,75
275,20,85
275,20,95
280,20,75
280,20,85
280,20,95
285,20,65
285,20,75
285,20,85
285,20,95
290,20,65
290,20,75
290,20,85
290,20,95
295,20,65
295,20,75
295,20,85
295,20,95
300,20,75
300,20,85
300,20,95
305,20,75
305,20,85
305,20,95
310,20,75
310,20,85
310,20,95
315,20,75
315,20,85
315,20,95
320,20,75
320,20,85
320,20,95
325,20,65
325,20,75
325,20,85
325,20,95
330,20,65
330,20,75
330,20,85
330,20,95
335,20,65
335,20,75
335,20,85
335,20,95
340,20,75
340,20,85
340,20,95
345,20,75
345,20,85
345,20,95
350,20,75
350,20,85
350,20,95
355,20,75
355,20,85
355,20,95
360,20,75
360,20,85
360,20,95
TAUPE + GREIGE,,
H,S,L
5,20,45
5,20,55
5,20,65
5,20,75
5,20,85
5,40,65
5,40,75
5,40,85
5,40,95
10,20,45
10,20,55
10,20,65
10,20,75
10,20,85
10,40,65
10,40,75
10,40,85
10,40,95
10,60,75
10,60,85
15,20,45
15,20,55
15,20,65
15,20,75
15,20,85
15,40,65
15,40,75
15,40,85
15,40,95
15,60,75
15,60,85
20,20,45
20,20,55
20,20,65
20,20,75
20,20,85
20,40,65
20,40,75
20,40,85
20,40,95
20,60,75
20,60,85
20,60,95
25,20,45
25,20,55
25,20,65
25,20,75
25,20,85
25,40,65
25,40,75
25,40,85
25,40,95
25,60,75
25,60,85
25,60,95
30,20,45
30,20,55
30,20,65
30,20,75
30,20,85
30,40,75
30,40,85
30,40,95
35,20,45
35,20,55
35,20,65
35,20,75
35,20,85
35,40,65
35,40,75
35,40,85
35,40,95
40,20,45
40,20,55
40,20,65
40,20,75
40,20,85
40,40,65
40,40,75
40,40,85
45,20,45
45,20,55
45,20,65
45,20,75
45,20,85
45,40,65
45,40,75
45,40,85
50,20,45
50,20,55
50,20,65
50,20,75
50,20,85
50,40,65
50,40,75
50,40,85
55,20,45
55,20,55
55,20,65
55,20,75
55,20,85
55,40,65
55,40,75
55,40,85
60,20,45
60,20,55
60,20,65
60,20,75
60,20,85
60,40,65
60,40,75
60,40,85
65,20,45
65,20,55
65,20,65
65,20,75
65,20,85
65,40,65
65,40,75
65,40,85
70,20,45
70,20,55
70,20,65
70,20,75
70,20,85
70,40,75
70,40,85
75,20,45
75,20,55
75,20,65
75,20,75
75,20,85
75,40,75
75,40,85
80,20,55
80,20,65
80,20,75
80,20,85
80,40,75
80,40,85
85,20,55
85,20,65
85,20,75
85,20,85
85,40,75
85,40,85
95,20,65
95,20,75
95,20,85
95,20,95
100,20,65
100,20,75
100,20,85
100,20,95
105,20,65
105,20,75
105,20,85
105,20,95
110,20,65
110,20,75
110,20,85
